ACT, SCENE,SCRIPT PG(s),DESCRIPTION,SONG,TITLE,LIBRETTO PG,CHARACTERS
 ACT I,1,1-7,A Broadway Stage - Present Day,#1,Opening,123,"Ensamble, Ron, Michael"
 ACT I,2,8-10,Bar - Lunchtime,#2,Whaddya Do,135,"Michael, Jeff"
 ACT I,2,10-11,Bar - Lunchtime,#2A,Whaddya Do,141,Ensamble
 ACT I,3,12-19,M&J Appartment ,#3,What's Gonna Happen,142,"Sandy, Michael, Jeff"
 ACT I,4,20-23,Stan's Office,#4,Whaddya Do (Reprise 1),150,"Michael, Ensamble"
 ACT I,5,24-29,Rehearsal Room,#5,I Won't Let You Down (Auditions),153,"Girl 1, Girl 2, Sandy"
 ACT I,5,24-29,Rehearsal Room,#6,I Won't Let You Down,155,"Dorothy, Ron, Rita, Susie"
 ACT I,6,30-33,Bar - Evening,-,-,-,"Michael, Jeff"
 ACT I,7,34-41,Reheasal Studio - Day,#6B,Ron Carlisle in His Element,159,"Ron, Rita, Susie, Julie, Max, Ensamble"
 ACT I,7,34-41,Reheasal Studio - Day,#6C,Ron's Dance Break,160,"Ron, Rita, Susie, Julie, Max, Ensamble, Dorothy"
 ACT I,7,34-41,Reheasal Studio - Day,7,I'm Alive,161,"Ron, Rita, Susie, Julie, Max, Ensamble, Dorothy"
 ACT I,8,42-47,Small Park,#8,There Was John,167,"Dorothy, Julie, Ron"
 ACT I,9,48-52,Rehearsal Room,#9,I Like What She's Doing (Part 1),174,"Ron, Rita, Susie, Julie, Max, Dorothy"
 ACT I,9,53-54,Rehearsal Room,#9A,I Like What She's Doing (Part 2),176,"Ron, Rita, Susie, Julie, Max, Dorothy"
 ACT I,9,54-55,Rehearsal Room,#9B,I Like What She's Doing (Part 3),177,"Ron, Rita, Susie, Julie, Max, Dorothy"
 ACT I,9,55-57,Rehearsal Room,#9C,I Like What She's Doing (Part 4),178,"Ron, Rita, Susie, Julie, Max, Dorothy"
 ACT I,9,57-58,Rehearsal Room,#9D,I Like What She's Doing (Part 5),182,"Dorothy, Ensamble"
ACT I,10,59-63,Julie's Appartment,#10,Who Are You,188,"Michael, Julie"
ACT I,11,64-67,M&J Appartment (Continuous),#11,What's Gonna Happen (Resprise),194,"Michael, Jeff, Sandy"
ACT I,11,67-71,M&J Appartment/ Broadway Stage (Continuous),#12,Unstoppable,195,"Michael, Jeff, Julie, Ensamble"
ACT II,1,72-75,M&J Appartment,#13,Jeff Sums It Up,206,"Michael, Jeff, Ensamble"
ACT II,2,76-82,Bar,#14,"Gone, Gone, Gone",212,"Michael, Jeff, Julie, Girls"
ACT II,3,83-87,Julie's Appartment,-,-,-,"Ron, Julie, Dorothy"
ACT II,3,87,Julie's Appartment,#15,Who Are You (Reprise),221,"Julie, Ensamble"
ACT II,4,88-90,M&J Appartment,#16,This Thing,223,"Max, Dorothy, Neighbor"
ACT II,4,90-91,M&J Appartment,-,-,-,"Max, Dorothy, Jeff"
ACT II,4,91-96,M&J Appartment,#17,Whaddya Do (Reprise 2),227,"Dorothy/Michael, Jeff, Stan"
ACT II,5,97-100,Broadway Stage,#18,The Most Important Night of My Life,229,Ensamble
ACT II,6,101-103,Michael's Dressing Room,-,-,,"Rita, Dorothy"
ACT II,6,103-105,Michael's Dressing Room,#19,Talk to Me Dorothy,240,"Dorothy, Julie, Ensamble"
ACT II,7,106,Onstage,#20,Arrivederci!,244,Ensamble
ACT II,7,106-108,Onstage,-,-,-,"Dorothy, Julie, Max, Ensamble"
ACT II,7,108,Onstage,#20A,Gadzooks!,246,"Dorothy, Julie, Max, Ensamble"
ACT II,7,109,Onstage,#20B,Does Jeff Know?,247,"Dorothy, Julie, Max, Ensamble"
ACT II,8,110-111,M&J Appartment,#21,What's Gonna Happen (Reprise 2),247,"Jeff, Sandy"
ACT II,9,111-114,M&JAppartment,#22,Michael's Reprise,248,"Jeff, Sandy, Michael"
ACT II,10,115-117,Small Park,#23,Thank You,248,"Michael, Julie"
ACT II,Bows,-,"Stage (Fosse, Fosse, Brain Freeze!...)",#24 & #24A,Bows,251-252,CAST
